"day","hour","forecast","value location:60_127 Start : 20180901 "
"12","15:30","+2","20.700001"
"12","15:30","+3","20.000000"
"12","16:30","+1","20.799999"
"12","16:30","+2","20.000000"
"12","17:30","+1","20.000000"
"12","17:30","+2","19.700001"
"12","17:30","+3","19.299999"
"12","17:30","+4","19.000000"
"12","18:30","+1","19.900000"
"12","18:30","+2","19.500000"
"12","18:30","+3","19.000000"
"12","19:30","+1","19.500000"
"12","19:30","+2","19.000000"
"12","20:30","+1","19.000000"
"12","20:30","+2","19.700001"
"12","20:30","+3","20.299999"
"12","20:30","+4","21.000000"
"12","21:30","+1","20.500000"
"12","21:30","+2","20.799999"
"12","21:30","+3","21.000000"
"12","22:30","+1","20.600000"
"12","22:30","+2","21.000000"
"12","23:30","+1","21.000000"
"12","23:30","+2","22.000000"
"12","23:30","+3","23.000000"
"12","23:30","+4","24.000000"
"13","00:30","+1","22.200001"
"13","00:30","+2","23.100000"
