진료년도,주상병코드,성별,입원외래구분,환자수(명),청구건수(건),요양급여비용(원)
2013,B30,여,입원,637 ,651 ,335040070 
2013,B33,남,외래,6872 ,13359 ,186755980 
2013,B33,여,외래,10050 ,19744 ,268813240 
2013,B33,남,입원,31 ,32 ,48080400 
2013,B33,여,입원,31 ,34 ,29359880 
2013,B34,남,외래,22775 ,38967 ,949901260 
2013,B34,여,외래,21444 ,36634 ,917103160 
2013,B34,남,입원,2863 ,2969 ,1881562820 
2013,B34,여,입원,2525 ,2611 ,1655800320 
2013,B35,남,외래,1357528 ,2913446 ,38089212240 
2013,B35,여,외래,1159103 ,2750462 ,34322779550 
2013,B35,남,입원,1322 ,1774 ,159107130 
2013,B35,여,입원,501 ,565 ,75165270 
2013,B36,남,외래,65557 ,100399 ,1378734700 
2013,B36,여,외래,39668 ,58541 ,789787300 
2013,B36,남,입원,18 ,19 ,3261080 
2013,B36,여,입원,6 ,9 ,10402160 
2013,B37,남,외래,58401 ,92343 ,1419757730 
2013,B37,여,외래,950990 ,1936394 ,29864056960 
2013,B37,남,입원,327 ,395 ,919320520 
2013,B37,여,입원,511 ,562 ,1215195470 
2013,B38,남,외래,27 ,64 ,2354330 
2013,B38,여,외래,34 ,53 ,2291670 
2013,B38,남,입원,1 ,4 ,63859340 
2013,B39,남,외래,6 ,6 ,137000 
2013,B39,여,외래,23 ,52 ,841140 
2013,B40,남,외래,25 ,33 ,1057050 
2013,B40,여,외래,7 ,14 ,261850 
2013,B41,남,외래,2 ,2 ,24250 
2013,B42,남,외래,25 ,107 ,3667190 
2013,B42,여,외래,23 ,62 ,2115900 
2013,B42,남,입원,1 ,1 ,794060 
2013,B42,여,입원,1 ,1 ,2425400 
2013,B43,남,외래,1480 ,2999 ,73939680 
2013,B43,여,외래,1345 ,2466 ,55742030 
2013,B43,남,입원,9 ,10 ,4498860 
2013,B43,여,입원,7 ,8 ,17478350 
2013,B44,남,외래,1016 ,3646 ,225014260 
2013,B44,여,외래,815 ,3020 ,176899790 
2013,B44,남,입원,226 ,311 ,1733144670 
2013,B44,여,입원,202 ,269 ,1037089330 
2013,B45,남,외래,91 ,447 ,37815790 
2013,B45,여,외래,100 ,401 ,20773720 
2013,B45,남,입원,36 ,61 ,380895760 
2013,B45,여,입원,49 ,135 ,952511290 
2013,B46,남,외래,192 ,403 ,10447990 
2013,B46,여,외래,217 ,580 ,27671450 
2013,B46,남,입원,28 ,56 ,655210680 
2013,B46,여,입원,21 ,84 ,1064736020 
2013,B47,남,외래,439 ,767 ,14203410 
2013,B47,여,외래,854 ,1277 ,21410600 
2013,B47,남,입원,7 ,9 ,27508020 
2013,B47,여,입원,4 ,5 ,4478630 
2013,B48,남,외래,1763 ,3848 ,45440730 
